"filename", "language", "JavaScript", "JavaScript React", "TypeScript React", "CSS", "TypeScript", "comment", "blank", "total"
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/modules/SearchResultsDropDown.jsx", "JavaScript React", 0, 44, 0, 0, 0, 0, 9, 53
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/modules/index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Buysell/Buysell.jsx", "JavaScript React", 0, 13, 0, 0, 0, 0, 4, 17
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Buysell/Buysell.module.css", "CSS", 0, 0, 0, 24, 0, 0, 2, 26
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/AreaChart/AreaChart.jsx", "JavaScript React", 0, 69, 0, 0, 0, 1, 4, 74
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/AreaChart/constants.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 2, 18
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/LineChart/LineChart.jsx", "JavaScript React", 0, 31, 0, 0, 0, 1, 5, 37
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/LineChart/constants.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 2, 18
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/PrimChart.jsx", "JavaScript React", 0, 161, 0, 0, 0, 9, 13, 183
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/SecChart.jsx", "JavaScript React", 0, 93, 0, 0, 0, 4, 12, 109
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/TimeFilterButtons/index.tsx", "TypeScript React", 0, 0, 46, 0, 0, 0, 5, 51
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/theme.tsx", "TypeScript React", 0, 0, 92, 0, 0, 3, 5, 100
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/ChartBlock.jsx", "JavaScript React", 0, 64, 0, 0, 0, 0, 12, 76
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Coin.module.css", "CSS", 0, 0, 0, 323, 0, 4, 62, 389
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/CoinInfo.jsx", "JavaScript React", 0, 127, 0, 0, 0, 0, 16, 143
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Exchange.jsx", "JavaScript React", 0, 35, 0, 0, 0, 0, 7, 42
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/FavPage.jsx", "JavaScript React", 0, 31, 0, 0, 0, 0, 9, 40
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/MainPage.jsx", "JavaScript React", 0, 34, 0, 0, 0, 0, 8, 42
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Settings/Settings.jsx", "JavaScript React", 0, 13, 0, 0, 0, 0, 2, 15
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Settings/Settings.module.css", "CSS", 0, 0, 0, 24, 0, 0, 2, 26
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/TransactionsWallet/TransactionsWallet.jsx", "JavaScript React", 0, 124, 0, 0, 0, 0, 10, 134
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/TransactionsWallet/TransactionsWallet.module.css", "CSS", 0, 0, 0, 86, 0, 0, 13, 99
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Wallets/SelectWalletBlock.jsx", "JavaScript React", 0, 36, 0, 0, 0, 2, 6, 44
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Wallets/Wallets.jsx", "JavaScript React", 0, 129, 0, 0, 0, 0, 21, 150
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Wallets/Wallets.module.css", "CSS", 0, 0, 0, 281, 0, 8, 64, 353
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 7
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Login/Login.jsx", "JavaScript React", 0, 66, 0, 0, 0, 0, 6, 72
